id,name,brand,cpu,cpu_brand,ram,scrsize,gpu,gpu_brand,memory,drive_type,opersystem,weight,shop,price,url
642,HP Pavilion 14-dv2073TU,HP,Core i5,Intel,8,14.0,Intel Iris Xe,Intel,512,SSD,Windows 11,1.4,Phongvu,19090000,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-pavilion-14-dv2073tu-core-i5-1235u--s221101770?sku=221101770
643,HP Pavilion 14-dv2071TU,HP,Core i7,Intel,8,14.0,Intel Iris Xe,Intel,512,SSD,Windows 11,1.4,Phongvu,22990000,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-pavilion-14-dv2071tu-core-i7-1255u--s221101775?sku=221101775
644,HP Pavilion 15-eg2082TU,HP,Core i5,Intel,8,15.6,Intel Iris Xe,Intel,512,SSD,Windows 11,1.7,Phongvu,18590000,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-pavilion-15-eg2082tu-7c0q5pa-i5-1240p-vang--s221101880?sku=221101880
645,Asus D515DA-EJ845T,ASUS,AMD Ryzen 3,AMD,4,15.6,Radeon Vega,AMD,512,SSD,Windows 10,1.8,Phongvu,10190000,https://phongvu.vn/asus-vivobook-d515da-ej845t-amd--s210900183?sku=210900183
646,HP 240 G8,HP,Core i3,Intel,4,14.0,Intel UHD 620,Intel,256,SSD,Windows 10,1.5,Phongvu,8990000,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-240-g8-519a4pa-i3-1005g1-bac--s210902184?sku=210902184
647,HP 240 G8,HP,Core i5,Intel,4,14.0,Intel Iris Xe,Intel,512,SSD,Windows 10,1.4,Phongvu,16290000,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-240-g8-518w3pa-i5-1135g7-bac--s211001898?sku=211001898
648,Dell Inspiron 15 3511,DELL,Core i3,Intel,16,15.6,Intel UHD 620,Intel,256,SSD,Windows 11,1.7,Phongvu,12290000,https://phongvu.vn/dell-inspiron-15-3511--s211200508?sku=211200508
649,Acer Aspire 3 A314-35-P3G9,ACER,Intel Pentium,Intel,16,14.0,Intel UHD 620,Intel,256,SSD,Windows 11,1.4,Phongvu,9490000,https://phongvu.vn/may-tinh-xach-tay-laptop-acer-aspire-3-a314-35-p3g9-nx-a7ssv-007-n6000-bac--s211200932?sku=211200932
650,HP Pavilion X360 14-dy0172TU,HP,Core i3,Intel,4,14.0,Intel UHD 620,Intel,256,SSD,Windows 11,1.5,Phongvu,12990000,https://phongvu.vn/laptop-hp-pavilion-x360-14-dy0172tu-4y1d7pa--s211206850?sku=211206850
651,Acer Aspire 3 A314-35-C3KS,ACER,Intel Celeron,Intel,16,14.0,Intel UHD 620,Intel,256,SSD,Windows 11,1.4,Phongvu,8490000,https://phongvu.vn/may-tinh-xach-tay-laptop-acer-aspire-3-a314-35-c3ks-nx-a7ssv-009-n5100-bac--s211208139?sku=211208139
